,,meanNormalizedScore
,,mean
condition,drug name,
ADHD,Adderall,6.984375
ADHD,Adderall XR,7.149532710280374
ADHD,Adzenys XR-ODT,6.805555555555555
ADHD,Amantadine,5.666666666666667
ADHD,Amphetamine,6.5227272727272725
ADHD,Amphetamine / dextroamphetamine,6.929178470254958
ADHD,Aptensio XR,5.833333333333333
ADHD,Armodafinil,6.9375
ADHD,Atomoxetine,5.103448275862069
ADHD,Bupropion,6.879310344827586
ADHD,Catapres,9.166666666666666
ADHD,Clonidine,8.354166666666666
ADHD,Concerta,6.463157894736842
ADHD,Cylert,7.25
ADHD,Daytrana,7.1
ADHD,Desipramine,4.5
ADHD,Desoxyn,8.15625
ADHD,Desvenlafaxine,8.5
ADHD,Dexedrine,7.510204081632653
ADHD,Dexmethylphenidate,6.283505154639175
ADHD,Dextroamphetamine,7.5588235294117645
ADHD,Dyanavel XR,5.4375
ADHD,Evekeo,6.576923076923077
ADHD,Focalin,6.05
ADHD,Focalin XR,6.44
ADHD,Guanfacine,5.852941176470588
ADHD,Imipramine,3.0
ADHD,Intuniv,5.951219512195122
ADHD,Kapvay,6.5
ADHD,Lisdexamfetamine,6.798525798525799
ADHD,Metadate CD,6.87037037037037
ADHD,Methamphetamine,7.434782608695652
ADHD,Methylin,8.4375
ADHD,Methylin ER,6.5
ADHD,Methylphenidate,6.569587628865979
ADHD,Modafinil,7.59375
ADHD,Mydayis,4.590909090909091
ADHD,Nuvigil,8.166666666666666
ADHD,Omega-3 polyunsaturated fatty acids,8.0
ADHD,Pemoline,6.75
ADHD,Pristiq,5.0
ADHD,ProCentra,10.0
ADHD,Provigil,8.625
ADHD,Quillivant XR,4.4
ADHD,Ritalin,6.868852459016393
ADHD,Ritalin LA,7.857142857142857
ADHD,Ritalin-SR,6.0
ADHD,Selegiline,6.5
ADHD,Strattera,5.1725888324873095
ADHD,Tenex,4.5
ADHD,Vyvanse,6.85969387755102
ADHD,Wellbutrin,6.0
ADHD,Wellbutrin SR,7.75
ADHD,Wellbutrin XL,7.0
ADHD,Zenzedi,6.875
AIDS Related Wasting,Dronabinol,6.25
AIDS Related Wasting,Marinol,4.75
AIDS Related Wasting,Somatropin,4.0
AV Heart Block,Epinephrine,2.0
Abdominal Distension,Bethanechol,5.5
Abdominal Distension,Urecholine,5.5
Abnormal Uterine Bleeding,Alesse,4.285714285714286
Abnormal Uterine Bleeding,Alyacen 1 / 35,4.5
Abnormal Uterine Bleeding,Amethia Lo,2.5
Abnormal Uterine Bleeding,Apri,5.6
Abnormal Uterine Bleeding,Aviane,6.333333333333333
Abnormal Uterine Bleeding,Aygestin,3.1666666666666665
Abnormal Uterine Bleeding,Balziva,8.0
Abnormal Uterine Bleeding,Camila,1.5
Abnormal Uterine Bleeding,CamreseLo,6.5
Abnormal Uterine Bleeding,Chateal,6.0
Abnormal Uterine Bleeding,Conjugated estrogens,3.75
Abnormal Uterine Bleeding,Cryselle,4.277777777777778
Abnormal Uterine Bleeding,Depo-Provera,3.4839650145772594
Abnormal Uterine Bleeding,Desogestrel / ethinyl estradiol,5.75
Abnormal Uterine Bleeding,Errin,3.25
Abnormal Uterine Bleeding,Estarylla,4.863636363636363
Abnormal Uterine Bleeding,Ethinyl estradiol / ethynodiol,2.5
Abnormal Uterine Bleeding,Ethinyl estradiol / etonogestrel,3.625
Abnormal Uterine Bleeding,Ethinyl estradiol / levonorgestrel,4.342592592592593
Abnormal Uterine Bleeding,Ethinyl estradiol / norethindrone,4.929411764705883
Abnormal Uterine Bleeding,Ethinyl estradiol / norgestimate,4.256756756756757
Abnormal Uterine Bleeding,Ethinyl estradiol / norgestrel,4.676470588235294
Abnormal Uterine Bleeding,Falmina,3.0
Abnormal Uterine Bleeding,Gildess Fe 1 / 20,2.8333333333333335
